Spieler, Punkte, Rundenanzahl, Runden, "Rang Punkte", "Rang Runden"
echteFrau, 25, 5, "1,3,4,5,6", 1, 1
GawrilaGhul, 21, 6, "1,2,3,4,5,6", 2, 2
mariia_cel, 25, 4, "1,2,5,6", 1, 3
Publikum, 5, 1, "1", 9, 4
D3lTa_Music, 10, 2, "1,2", 6, 5
DontCallMeChicken, 25, 5, "1,3,4,5,6", 1, 6
krischa88xx, 6, 3, "1,2,3", 8, 7
geckoofcolor, 15, 4, "1,2,5,6", 4, 8
MayaManuka, 20, 4, "2,3,5,6", 3, 8
xsnowflake1x, 5, 2, "2,3", 9, 9
Coolmaster185, 12, 2, "5,6", 5, 9
Fuechsle__, 7, 2, "5,6", 7, 9
Aegyptischer_Panda, 2, 1, "5", 10, 10
